date,GENERATOR POWER,IDF B FR BRG T EMP.1,IDF B FR BRG T EMP.2,IDF B FR BRG T EMP.3,IDF B MID BRG TEMP.1,IDF B MID BRG TEMP.2,IDF B MID BRG TEMP.3,IDF B BKR BRG TEMP.1,IDF B BKR BRG TEMP.2,IDF B BKR BRG TEMP.3,IDF B MOT CUR,IDF vibration X,IDF vibration Y,IDF B MOTOR FR BRG TEMP.,IDF B MOTOR BRG TEMP.,IDF B MOT WDG TEMP.1,IDF B MOT WDG TEMP.2,IDF B MOT WDG TEMP.3,IDF B MOT WDG TEMP.4,IDF B MOT WDG TEMP.5,IDF B MOT WDG TEMP.6,Lube oil tank temp.,Current lube oil pump A,Current lube oil pump B,IDF B INL FG    TEMP.,IDF B INL FG P,ID FAN B MTR    ACT FB
2018-03-01 0:00,-1.33,45.60,46.39,46.81,49.00,49.37,49.32,47.05,48.75,47.02,279.73,3.18,2.09,45.32,42.57,55.46,55.46,57.50,58.33,55.57,57.52,34.95,0.00,1.86,39.45,-1.13,17.98
2018-03-01 1:00,-1.38,45.22,46.01,46.38,48.75,49.13,49.09,46.86,48.52,46.85,272.78,3.33,2.03,45.11,42.43,54.49,54.53,56.53,57.32,54.62,56.53,34.62,0.00,1.85,47.88,-1.18,16.18
2018-03-01 2:00,-1.33,45.33,46.10,46.58,48.21,48.66,48.68,46.27,48.03,46.40,270.82,3.11,1.89,44.79,42.13,53.43,53.48,55.45,56.22,53.58,55.44,34.21,0.00,1.87,56.12,-1.24,19.79
2018-03-01 3:00,-1.38,45.71,46.55,46.89,48.00,48.47,48.50,45.99,47.79,46.19,269.61,3.47,2.10,44.69,41.99,52.68,52.76,54.69,55.48,52.86,54.70,34.00,0.00,1.87,59.75,-1.36,22.26
2018-03-01 4:00,-1.25,45.80,46.64,47.04,47.82,48.34,48.39,45.83,47.65,46.03,268.27,3.57,1.94,44.70,42.03,52.22,52.32,54.24,55.02,52.43,54.25,33.97,0.00,1.83,61.03,-1.31,20.36
2018-03-01 5:00,-1.77,45.74,46.58,46.97,47.67,48.19,48.23,45.66,47.49,45.85,267.97,3.47,1.94,44.53,41.87,51.65,51.75,53.66,54.42,51.85,53.65,33.70,0.00,1.85,61.34,-1.34,21.16
2018-03-01 6:00,-1.77,45.68,46.53,46.92,47.52,48.09,48.11,45.50,47.37,45.77,268.57,3.50,2.07,44.42,41.69,51.19,51.31,53.21,53.99,51.40,53.21,33.50,0.00,1.86,62.46,-1.38,21.74
2018-03-01 7:00,82.98,45.79,46.60,46.97,47.58,48.09,48.14,45.53,47.35,45.75,270.67,3.44,1.98,44.48,41.65,51.66,51.86,53.68,54.44,51.95,53.70,33.63,0.00,1.95,65.99,-1.49,26.85
2018-03-01 8:00,83.40,45.77,46.63,46.99,47.57,48.11,48.13,45.54,47.35,45.73,269.32,3.11,1.94,44.47,41.68,51.65,51.87,53.71,54.44,51.96,53.69,33.60,-0.01,1.96,66.37,-1.51,26.85
2018-03-01 9:00,-1.38,45.04,45.84,46.19,47.88,48.34,48.35,45.94,47.77,46.12,267.97,3.49,2.09,44.44,41.65,51.56,51.76,53.63,54.30,51.84,53.60,33.78,0.00,1.89,66.33,-1.40,23.44
2018-03-01 10:00,-1.25,45.65,46.38,46.69,48.77,49.13,49.11,46.92,48.64,46.99,267.97,3.66,2.07,44.99,42.25,52.70,52.95,54.78,55.41,53.01,54.75,34.72,0.00,1.90,66.30,-1.38,23.04
2018-03-01 11:00,-1.65,47.06,47.70,47.96,50.58,50.77,50.72,48.78,50.35,48.70,266.61,3.44,2.00,46.21,43.41,55.26,55.51,57.34,57.90,55.54,57.26,36.49,0.00,1.89,67.84,-1.33,22.07
